Сортировка; Кол-во элементов; Тип массива; Время (Наносекунды)
Быстрая сортировка (Разбиение Ломуто); 240; Рандом от 0 до 4000; 19839
Пирамидальная сортировка; 240; Рандом от 0 до 4000; 34722
Сортировка выбором; 250; Рандом от 0 до 4000; 153759
Сортировка пузырьком; 250; Рандом от 0 до 4000; 307520
Сортировка пузырьком (Айверсон 1); 250; Рандом от 0 до 4000; 302560
Сортировка пузырьком (Айверсон 1 + 2); 250; Рандом от 0 до 4000; 257920
Сортировка вставками; 250; Рандом от 0 до 4000; 148804
Сортировка бинарными вставками; 250; Рандом от 0 до 4000; 128959
Сортировка подсчетом; 250; Рандом от 0 до 4000; 24801
Цифровая сортировка; 250; Рандом от 0 до 4000; 34721
Сортировка слиянием; 250; Рандом от 0 до 4000; 79358
Быстрая сортировка (Разбиение Хоара); 250; Рандом от 0 до 4000; 14880
Быстрая сортировка (Разбиение Ломуто); 250; Рандом от 0 до 4000; 19844
Пирамидальная сортировка; 250; Рандом от 0 до 4000; 29761
Сортировка выбором; 260; Рандом от 0 до 4000; 168641
Сортировка пузырьком; 260; Рандом от 0 до 4000; 337279
Сортировка пузырьком (Айверсон 1); 260; Рандом от 0 до 4000; 327360
Сортировка пузырьком (Айверсон 1 + 2); 260; Рандом от 0 до 4000; 277760
Сортировка вставками; 260; Рандом от 0 до 4000; 173599
Сортировка бинарными вставками; 260; Рандом от 0 до 4000; 138883
Сортировка подсчетом; 260; Рандом от 0 до 4000; 29758
Цифровая сортировка; 260; Рандом от 0 до 4000; 44641
Сортировка слиянием; 260; Рандом от 0 до 4000; 79359
Быстрая сортировка (Разбиение Хоара); 260; Рандом от 0 до 4000; 9918
Быстрая сортировка (Разбиение Ломуто); 260; Рандом от 0 до 4000; 24798
Пирамидальная сортировка; 260; Рандом от 0 до 4000; 39682
Сортировка выбором; 270; Рандом от 0 до 4000; 173598
Сортировка пузырьком; 270; Рандом от 0 до 4000; 357120
Сортировка пузырьком (Айверсон 1); 270; Рандом от 0 до 4000; 357122
Сортировка пузырьком (Айверсон 1 + 2); 270; Рандом от 0 до 4000; 297598
Сортировка вставками; 270; Рандом от 0 до 4000; 183520
Сортировка бинарными вставками; 270; Рандом от 0 до 4000; 143841
Сортировка подсчетом; 270; Рандом от 0 до 4000; 29759
Цифровая сортировка; 270; Рандом от 0 до 4000; 44642
Сортировка слиянием; 270; Рандом от 0 до 4000; 84319
Быстрая сортировка (Разбиение Хоара); 270; Рандом от 0 до 4000; 19839
Быстрая сортировка (Разбиение Ломуто); 270; Рандом от 0 до 4000; 29761
Пирамидальная сортировка; 270; Рандом от 0 до 4000; 39680
Сортировка выбором; 280; Рандом от 0 до 4000; 188482
Сортировка пузырьком; 280; Рандом от 0 до 4000; 386881
Сортировка пузырьком (Айверсон 1); 280; Рандом от 0 до 4000; 391845
Сортировка пузырьком (Айверсон 1 + 2); 280; Рандом от 0 до 4000; 317434
Сортировка вставками; 280; Рандом от 0 до 4000; 183517
Сортировка бинарными вставками; 280; Рандом от 0 до 4000; 153761
Сортировка подсчетом; 280; Рандом от 0 до 4000; 24798
Цифровая сортировка; 280; Рандом от 0 до 4000; 39680
Сортировка слиянием; 280; Рандом от 0 до 4000; 84320
Быстрая сортировка (Разбиение Хоара); 280; Рандом от 0 до 4000; 24800
Быстрая сортировка (Разбиение Ломуто); 280; Рандом от 0 до 4000; 29760
Пирамидальная сортировка; 280; Рандом от 0 до 4000; 39680
Сортировка выбором; 290; Рандом от 0 до 4000; 208320
Сортировка пузырьком; 290; Рандом от 0 до 4000; 411675
Сортировка пузырьком (Айверсон 1); 290; Рандом от 0 до 4000; 416639
Сортировка пузырьком (Айверсон 1 + 2); 290; Рандом от 0 до 4000; 342240
Сортировка вставками; 290; Рандом от 0 до 4000; 203362
Сортировка бинарными вставками; 290; Рандом от 0 до 4000; 168640
Сортировка подсчетом; 290; Рандом от 0 до 4000; 29760
Цифровая сортировка; 290; Рандом от 0 до 4000; 44640
Сортировка слиянием; 290; Рандом от 0 до 4000; 94240
Быстрая сортировка (Разбиение Хоара); 290; Рандом от 0 до 4000; 19840
Быстрая сортировка (Разбиение Ломуто); 290; Рандом от 0 до 4000; 29760
Пирамидальная сортировка; 290; Рандом от 0 до 4000; 39679
Сортировка выбором; 300; Рандом от 0 до 4000; 208318
Сортировка пузырьком; 300; Рандом от 0 до 4000; 441439
Сортировка пузырьком (Айверсон 1); 300; Рандом от 0 до 4000; 441439
Сортировка пузырьком (Айверсон 1 + 2); 300; Рандом от 0 до 4000; 357121
Сортировка вставками; 300; Рандом от 0 до 4000; 218239
Сортировка бинарными вставками; 300; Рандом от 0 до 4000; 178565
Сортировка подсчетом; 300; Рандом от 0 до 4000; 24795
Цифровая сортировка; 300; Рандом от 0 до 4000; 44641
Сортировка слиянием; 300; Рандом от 0 до 4000; 89281
Быстрая сортировка (Разбиение Хоара); 300; Рандом от 0 до 4000; 19834
Быстрая сортировка (Разбиение Ломуто); 300; Рандом от 0 до 4000; 29761
Пирамидальная сортировка; 300; Рандом от 0 до 4000; 34715
Сортировка выбором; 400; Рандом от 0 до 4000; 386883
Сортировка пузырьком; 400; Рандом от 0 до 4000; 803519
Сортировка пузырьком (Айверсон 1); 400; Рандом от 0 до 4000; 788640
Сортировка пузырьком (Айверсон 1 + 2); 400; Рандом от 0 до 4000; 669600
Сортировка вставками; 400; Рандом от 0 до 4000; 421599
Сортировка бинарными вставками; 400; Рандом от 0 до 4000; 317441
Сортировка подсчетом; 400; Рандом от 0 до 4000; 34719
Цифровая сортировка; 400; Рандом от 0 до 4000; 59520
Сортировка слиянием; 400; Рандом от 0 до 4000; 128964
Быстрая сортировка (Разбиение Хоара); 400; Рандом от 0 до 4000; 29757
Быстрая сортировка (Разбиение Ломуто); 400; Рандом от 0 до 4000; 34726
Пирамидальная сортировка; 400; Рандом от 0 до 4000; 64477
Сортировка выбором; 500; Рандом от 0 до 4000; 595201
Сортировка пузырьком; 500; Рандом от 0 до 4000; 1274721
Сортировка пузырьком (Айверсон 1); 500; Рандом от 0 до 4000; 1254882
Сортировка пузырьком (Айверсон 1 + 2); 500; Рандом от 0 до 4000; 1041597
Сортировка вставками; 500; Рандом от 0 до 4000; 669604
Сортировка бинарными вставками; 500; Рандом от 0 до 4000; 510878
Сортировка подсчетом; 500; Рандом от 0 до 4000; 39679
Цифровая сортировка; 500; Рандом от 0 до 4000; 64475
Сортировка слиянием; 500; Рандом от 0 до 4000; 163684
Быстрая сортировка (Разбиение Хоара); 500; Рандом от 0 до 4000; 44642
Быстрая сортировка (Разбиение Ломуто); 500; Рандом от 0 до 4000; 44640
Пирамидальная сортировка; 500; Рандом от 0 до 4000; 84326
Сортировка выбором; 600; Рандом от 0 до 4000; 833278
Сортировка пузырьком; 600; Рандом от 0 до 4000; 1864960
Сортировка пузырьком (Айверсон 1); 600; Рандом от 0 до 4000; 1835205
Сортировка пузырьком (Айверсон 1 + 2); 600; Рандом от 0 до 4000; 1517757
Сортировка вставками; 600; Рандом от 0 до 4000; 972163
Сортировка бинарными вставками; 600; Рандом от 0 до 4000; 739037
Сортировка подсчетом; 600; Рандом от 0 до 4000; 34720
Цифровая сортировка; 600; Рандом от 0 до 4000; 89281
Сортировка слиянием; 600; Рандом от 0 до 4000; 208320
Быстрая сортировка (Разбиение Хоара); 600; Рандом от 0 до 4000; 44636
Быстрая сортировка (Разбиение Ломуто); 600; Рандом от 0 до 4000; 69440
Пирамидальная сортировка; 600; Рандом от 0 до 4000; 104160
Сортировка выбором; 700; Рандом от 0 до 4000; 1120964
Сортировка пузырьком; 700; Рандом от 0 до 4000; 2529598
Сортировка пузырьком (Айверсон 1); 700; Рандом от 0 до 4000; 2499841
Сортировка пузырьком (Айверсон 1 + 2); 700; Рандом от 0 до 4000; 2063359
Сортировка вставками; 700; Рандом от 0 до 4000; 1294559
Сортировка бинарными вставками; 700; Рандом от 0 до 4000; 987042
Сортировка подсчетом; 700; Рандом от 0 до 4000; 29754
Цифровая сортировка; 700; Рандом от 0 до 4000; 104161
Сортировка слиянием; 700; Рандом от 0 до 4000; 243040
Быстрая сортировка (Разбиение Хоара); 700; Рандом от 0 до 4000; 64477
Быстрая сортировка (Разбиение Ломуто); 700; Рандом от 0 до 4000; 74399
Пирамидальная сортировка; 700; Рандом от 0 до 4000; 124000
Сортировка выбором; 800; Рандом от 0 до 4000; 1458246
Сортировка пузырьком; 800; Рандом от 0 до 4000; 3313274
Сортировка пузырьком (Айверсон 1); 800; Рандом от 0 до 4000; 3283520
Сортировка пузырьком (Айверсон 1 + 2); 800; Рандом от 0 до 4000; 2688325
Сортировка вставками; 800; Рандом от 0 до 4000; 1681434
Сортировка бинарными вставками; 800; Рандом от 0 до 4000; 1264799
Сортировка подсчетом; 800; Рандом от 0 до 4000; 29755
Цифровая сортировка; 800; Рандом от 0 до 4000; 99193
Сортировка слиянием; 800; Рандом от 0 до 4000; 277760
Быстрая сортировка (Разбиение Хоара); 800; Рандом от 0 до 4000; 79360
Быстрая сортировка (Разбиение Ломуто); 800; Рандом от 0 до 4000; 89283
Пирамидальная сортировка; 800; Рандом от 0 до 4000; 133920
Сортировка выбором; 900; Рандом от 0 до 4000; 1855040
Сортировка пузырьком; 900; Рандом от 0 до 4000; 4196161
Сортировка пузырьком (Айверсон 1); 900; Рандом от 0 до 4000; 4131681
Сортировка пузырьком (Айверсон 1 + 2); 900; Рандом от 0 до 4000; 3382720
Сортировка вставками; 900; Рандом от 0 до 4000; 2112959
Сортировка бинарными вставками; 900; Рандом от 0 до 4000; 1577284
Сортировка подсчетом; 900; Рандом от 0 до 4000; 29762
Цифровая сортировка; 900; Рандом от 0 до 4000; 128963
Сортировка слиянием; 900; Рандом от 0 до 4000; 302563
Быстрая сортировка (Разбиение Хоара); 900; Рандом от 0 до 4000; 89276
Быстрая сортировка (Разбиение Ломуто); 900; Рандом от 0 до 4000; 109123
Пирамидальная сортировка; 900; Рандом от 0 до 4000; 168643
Сортировка выбором; 1000; Рандом от 0 до 4000; 2266719
Сортировка пузырьком; 1000; Рандом от 0 до 4000; 5232800
Сортировка пузырьком (Айверсон 1); 1000; Рандом от 0 до 4000; 5153441
Сортировка пузырьком (Айверсон 1 + 2); 1000; Рандом от 0 до 4000; 4235839
Сортировка вставками; 1000; Рандом от 0 до 4000; 2618872
Сортировка бинарными вставками; 1000; Рандом от 0 до 4000; 1964156
Сортировка подсчетом; 1000; Рандом от 0 до 4000; 44639
Цифровая сортировка; 1000; Рандом от 0 до 4000; 133921
Сортировка слиянием; 1000; Рандом от 0 до 4000; 357120
Быстрая сортировка (Разбиение Хоара); 1000; Рандом от 0 до 4000; 99201
Быстрая сортировка (Разбиение Ломуто); 1000; Рандом от 0 до 4000; 119041
Пирамидальная сортировка; 1000; Рандом от 0 до 4000; 193442
Сортировка выбором; 1100; Рандом от 0 до 4000; 2728001
Сортировка пузырьком; 1100; Рандом от 0 до 4000; 6333922
Сортировка пузырьком (Айверсон 1); 1100; Рандом от 0 до 4000; 6209918
Сортировка пузырьком (Айверсон 1 + 2); 1100; Рандом от 0 до 4000; 5133602
Сортировка вставками; 1100; Рандом от 0 до 4000; 3124801
Сортировка бинарными вставками; 1100; Рандом от 0 до 4000; 2326233
Сортировка подсчетом; 1100; Рандом от 0 до 4000; 49598
Цифровая сортировка; 1100; Рандом от 0 до 4000; 153760
Сортировка слиянием; 1100; Рандом от 0 до 4000; 381921
Быстрая сортировка (Разбиение Хоара); 1100; Рандом от 0 до 4000; 119039
Быстрая сортировка (Разбиение Ломуто); 1100; Рандом от 0 до 4000; 143842
Пирамидальная сортировка; 1100; Рандом от 0 до 4000; 203361
Сортировка выбором; 1200; Рандом от 0 до 4000; 3238881
Сортировка пузырьком; 1200; Рандом от 0 до 4000; 7509438
Сортировка пузырьком (Айверсон 1); 1200; Рандом от 0 до 4000; 7355684
Сортировка пузырьком (Айверсон 1 + 2); 1200; Рандом от 0 до 4000; 6066079
Сортировка вставками; 1200; Рандом от 0 до 4000; 3680318
Сортировка бинарными вставками; 1200; Рандом от 0 до 4000; 2747842
Сортировка подсчетом; 1200; Рандом от 0 до 4000; 49600
Цифровая сортировка; 1200; Рандом от 0 до 4000; 173601
Сортировка слиянием; 1200; Рандом от 0 до 4000; 426558
Быстрая сортировка (Разбиение Хоара); 1200; Рандом от 0 до 4000; 128960
Быстрая сортировка (Разбиение Ломуто); 1200; Рандом от 0 до 4000; 153760
Пирамидальная сортировка; 1200; Рандом от 0 до 4000; 223213
Сортировка выбором; 1300; Рандом от 0 до 4000; 3804315
Сортировка пузырьком; 1300; Рандом от 0 до 4000; 8853603
Сортировка пузырьком (Айверсон 1); 1300; Рандом от 0 до 4000; 8655199
Сортировка пузырьком (Айверсон 1 + 2); 1300; Рандом от 0 до 4000; 7172163
Сортировка вставками; 1300; Рандом от 0 до 4000; 4349917
Сортировка бинарными вставками; 1300; Рандом от 0 до 4000; 3189275
Сортировка подсчетом; 1300; Рандом от 0 до 4000; 49600
Цифровая сортировка; 1300; Рандом от 0 до 4000; 178548
Сортировка слиянием; 1300; Рандом от 0 до 4000; 471203
Быстрая сортировка (Разбиение Хоара); 1300; Рандом от 0 до 4000; 133912
Быстрая сортировка (Разбиение Ломуто); 1300; Рандом от 0 до 4000; 173597
Пирамидальная сортировка; 1300; Рандом от 0 до 4000; 267842
Сортировка выбором; 1400; Рандом от 0 до 4000; 4384638
Сортировка пузырьком; 1400; Рандом от 0 до 4000; 10242402
Сортировка пузырьком (Айверсон 1); 1400; Рандом от 0 до 4000; 10098555
Сортировка пузырьком (Айверсон 1 + 2); 1400; Рандом от 0 до 4000; 8387359
Сортировка вставками; 1400; Рандом от 0 до 4000; 5009599
Сортировка бинарными вставками; 1400; Рандом от 0 до 4000; 3724958
Сортировка подсчетом; 1400; Рандом от 0 до 4000; 64482
Цифровая сортировка; 1400; Рандом от 0 до 4000; 188485
Сортировка слиянием; 1400; Рандом от 0 до 4000; 500963
Быстрая сортировка (Разбиение Хоара); 1400; Рандом от 0 до 4000; 143845
Быстрая сортировка (Разбиение Ломуто); 1400; Рандом от 0 до 4000; 188477
Пирамидальная сортировка; 1400; Рандом от 0 до 4000; 282720
Сортировка выбором; 1500; Рандом от 0 до 4000; 5019526
Сортировка пузырьком; 1500; Рандом от 0 до 4000; 11695676
Сортировка пузырьком (Айверсон 1); 1500; Рандом от 0 до 4000; 11527042
Сортировка пузырьком (Айверсон 1 + 2); 1500; Рандом от 0 до 4000; 9597600
Сортировка вставками; 1500; Рандом от 0 до 4000; 5694081
Сортировка бинарными вставками; 1500; Рандом от 0 до 4000; 4215999
Сортировка подсчетом; 1500; Рандом от 0 до 4000; 64483
Цифровая сортировка; 1500; Рандом от 0 до 4000; 203353
Сортировка слиянием; 1500; Рандом от 0 до 4000; 545602
Быстрая сортировка (Разбиение Хоара); 1500; Рандом от 0 до 4000; 133921
Быстрая сортировка (Разбиение Ломуто); 1500; Рандом от 0 до 4000; 213282
Пирамидальная сортировка; 1500; Рандом от 0 до 4000; 312482
Сортировка выбором; 1600; Рандом от 0 до 4000; 5723843
Сортировка пузырьком; 1600; Рандом от 0 до 4000; 13416802
Сортировка пузырьком (Айверсон 1); 1600; Рандом от 0 до 4000; 13178717
Сортировка пузырьком (Айверсон 1 + 2); 1600; Рандом от 0 до 4000; 11036002
Сортировка вставками; 1600; Рандом от 0 до 4000; 6512481
Сортировка бинарными вставками; 1600; Рандом от 0 до 4000; 4826078
Сортировка подсчетом; 1600; Рандом от 0 до 4000; 59520
Цифровая сортировка; 1600; Рандом от 0 до 4000; 233119
Сортировка слиянием; 1600; Рандом от 0 до 4000; 575382
Быстрая сортировка (Разбиение Хоара); 1600; Рандом от 0 до 4000; 168620
Быстрая сортировка (Разбиение Ломуто); 1600; Рандом от 0 до 4000; 228161
Пирамидальная сортировка; 1600; Рандом от 0 до 4000; 317436
Сортировка выбором; 1700; Рандом от 0 до 4000; 6467839
Сортировка пузырьком; 1700; Рандом от 0 до 4000; 15157754
Сортировка пузырьком (Айверсон 1); 1700; Рандом от 0 до 4000; 14880000
Сортировка пузырьком (Айверсон 1 + 2); 1700; Рандом от 0 до 4000; 12429774
Сортировка вставками; 1700; Рандом от 0 до 4000; 7335839
Сортировка бинарными вставками; 1700; Рандом от 0 до 4000; 5406400
Сортировка подсчетом; 1700; Рандом от 0 до 4000; 64477
Цифровая сортировка; 1700; Рандом от 0 до 4000; 248001
Сортировка слиянием; 1700; Рандом от 0 до 4000; 620001
Быстрая сортировка (Разбиение Хоара); 1700; Рандом от 0 до 4000; 183522
Быстрая сортировка (Разбиение Ломуто); 1700; Рандом от 0 до 4000; 247998
Пирамидальная сортировка; 1700; Рандом от 0 до 4000; 352161
Сортировка выбором; 1800; Рандом от 0 до 4000; 7221761
Сортировка пузырьком; 1800; Рандом от 0 до 4000; 17047512
Сортировка пузырьком (Айверсон 1); 1800; Рандом от 0 до 4000; 16735038
Сортировка пузырьком (Айверсон 1 + 2); 1800; Рандом от 0 до 4000; 14011995
Сортировка вставками; 1800; Рандом от 0 до 4000; 8218729
Сортировка бинарными вставками; 1800; Рандом от 0 до 4000; 6051197
Сортировка подсчетом; 1800; Рандом от 0 до 4000; 64489
Цифровая сортировка; 1800; Рандом от 0 до 4000; 257914
Сортировка слиянием; 1800; Рандом от 0 до 4000; 669599
Быстрая сортировка (Разбиение Хоара); 1800; Рандом от 0 до 4000; 203360
Быстрая сортировка (Разбиение Ломуто); 1800; Рандом от 0 до 4000; 252963
Пирамидальная сортировка; 1800; Рандом от 0 до 4000; 391840
Сортировка выбором; 1900; Рандом от 0 до 4000; 8030237
Сортировка пузырьком; 1900; Рандом от 0 до 4000; 19195205
Сортировка пузырьком (Айверсон 1); 1900; Рандом от 0 до 4000; 18614872
Сортировка пузырьком (Айверсон 1 + 2); 1900; Рандом от 0 до 4000; 15663677
Сортировка вставками; 1900; Рандом от 0 до 4000; 9111521
Сортировка бинарными вставками; 1900; Рандом от 0 до 4000; 6715838
Сортировка подсчетом; 1900; Рандом от 0 до 4000; 69438
Цифровая сортировка; 1900; Рандом от 0 до 4000; 277766
Сортировка слиянием; 1900; Рандом от 0 до 4000; 694384
Быстрая сортировка (Разбиение Хоара); 1900; Рандом от 0 до 4000; 188475
Быстрая сортировка (Разбиение Ломуто); 1900; Рандом от 0 до 4000; 247999
Пирамидальная сортировка; 1900; Рандом от 0 до 4000; 411684
Сортировка выбором; 2000; Рандом от 0 до 4000; 8908162
Сортировка пузырьком; 2000; Рандом от 0 до 4000; 21114725
Сортировка пузырьком (Айверсон 1); 2000; Рандом от 0 до 4000; 20777439
Сортировка пузырьком (Айверсон 1 + 2); 2000; Рандом от 0 до 4000; 17459200
Сортировка вставками; 2000; Рандом от 0 до 4000; 10098564
Сортировка бинарными вставками; 2000; Рандом от 0 до 4000; 7415200
Сортировка подсчетом; 2000; Рандом от 0 до 4000; 79358
Цифровая сортировка; 2000; Рандом от 0 до 4000; 282724
Сортировка слиянием; 2000; Рандом от 0 до 4000; 743998
Быстрая сортировка (Разбиение Хоара); 2000; Рандом от 0 до 4000; 218242
Быстрая сортировка (Разбиение Ломуто); 2000; Рандом от 0 до 4000; 282720
Пирамидальная сортировка; 2000; Рандом от 0 до 4000; 421599
Сортировка выбором; 2100; Рандом от 0 до 4000; 9835676
Сортировка пузырьком; 2100; Рандом от 0 до 4000; 23356639
Сортировка пузырьком (Айверсон 1); 2100; Рандом от 0 до 4000; 22895359
Сортировка пузырьком (Айверсон 1 + 2); 2100; Рандом от 0 до 4000; 19314239
Сортировка вставками; 2100; Рандом от 0 до 4000; 11169918
Сортировка бинарными вставками; 2100; Рандом от 0 до 4000; 8238559
Сортировка подсчетом; 2100; Рандом от 0 до 4000; 69432
Цифровая сортировка; 2100; Рандом от 0 до 4000; 292639
Сортировка слиянием; 2100; Рандом от 0 до 4000; 783681
Быстрая сортировка (Разбиение Хоара); 2100; Рандом от 0 до 4000; 208315
Быстрая сортировка (Разбиение Ломуто); 2100; Рандом от 0 до 4000; 307519
Пирамидальная сортировка; 2100; Рандом от 0 до 4000; 446402
Сортировка выбором; 2200; Рандом от 0 до 4000; 10743360
Сортировка пузырьком; 2200; Рандом от 0 до 4000; 25638237
Сортировка пузырьком (Айверсон 1); 2200; Рандом от 0 до 4000; 25201759
Сортировка пузырьком (Айверсон 1 + 2); 2200; Рандом от 0 до 4000; 21273431
Сортировка вставками; 2200; Рандом от 0 до 4000; 12216478
Сортировка бинарными вставками; 2200; Рандом от 0 до 4000; 9002402
Сортировка подсчетом; 2200; Рандом от 0 до 4000; 84316
Цифровая сортировка; 2200; Рандом от 0 до 4000; 302563
Сортировка слиянием; 2200; Рандом от 0 до 4000; 833276
Быстрая сортировка (Разбиение Хоара); 2200; Рандом от 0 до 4000; 238080
Быстрая сортировка (Разбиение Ломуто); 2200; Рандом от 0 до 4000; 302563
Пирамидальная сортировка; 2200; Рандом от 0 до 4000; 476164
Сортировка выбором; 2300; Рандом от 0 до 4000; 11735356
Сортировка пузырьком; 2300; Рандом от 0 до 4000; 28133121
Сортировка пузырьком (Айверсон 1); 2300; Рандом от 0 до 4000; 27656960
Сортировка пузырьком (Айверсон 1 + 2); 2300; Рандом от 0 до 4000; 23376484
Сортировка вставками; 2300; Рандом от 0 до 4000; 13476316
Сортировка бинарными вставками; 2300; Рандом от 0 до 4000; 9890251
Сортировка подсчетом; 2300; Рандом от 0 до 4000; 84308
Цифровая сортировка; 2300; Рандом от 0 до 4000; 327362
Сортировка слиянием; 2300; Рандом от 0 до 4000; 863042
Быстрая сортировка (Разбиение Хоара); 2300; Рандом от 0 до 4000; 257921
Быстрая сортировка (Разбиение Ломуто); 2300; Рандом от 0 до 4000; 322401
Пирамидальная сортировка; 2300; Рандом от 0 до 4000; 486082
Сортировка выбором; 2400; Рандом от 0 до 4000; 12776964
Сортировка пузырьком; 2400; Рандом от 0 до 4000; 30647842
Сортировка пузырьком (Айверсон 1); 2400; Рандом от 0 до 4000; 30003044
Сортировка пузырьком (Айверсон 1 + 2); 2400; Рандом от 0 до 4000; 25355518
Сортировка вставками; 2400; Рандом от 0 до 4000; 14572485
Сортировка бинарными вставками; 2400; Рандом от 0 до 4000; 10688796
Сортировка подсчетом; 2400; Рандом от 0 до 4000; 84326
Цифровая сортировка; 2400; Рандом от 0 до 4000; 362079
Сортировка слиянием; 2400; Рандом от 0 до 4000; 922558
Быстрая сортировка (Разбиение Хоара); 2400; Рандом от 0 до 4000; 262882
Быстрая сортировка (Разбиение Ломуто); 2400; Рандом от 0 до 4000; 357120
Пирамидальная сортировка; 2400; Рандом от 0 до 4000; 520805
Сортировка выбором; 2500; Рандом от 0 до 4000; 13833437
Сортировка пузырьком; 2500; Рандом от 0 до 4000; 33271679
Сортировка пузырьком (Айверсон 1); 2500; Рандом от 0 до 4000; 32597120
Сортировка пузырьком (Айверсон 1 + 2); 2500; Рандом от 0 до 4000; 27597439
Сортировка вставками; 2500; Рандом от 0 до 4000; 15906713
Сортировка бинарными вставками; 2500; Рандом от 0 до 4000; 11646086
Сортировка подсчетом; 2500; Рандом от 0 до 4000; 69439
Цифровая сортировка; 2500; Рандом от 0 до 4000; 347202
Сортировка слиянием; 2500; Рандом от 0 до 4000; 942395
Быстрая сортировка (Разбиение Хоара); 2500; Рандом от 0 до 4000; 262883
Быстрая сортировка (Разбиение Ломуто); 2500; Рандом от 0 до 4000; 357126
Пирамидальная сортировка; 2500; Рандом от 0 до 4000; 545601
Сортировка выбором; 2600; Рандом от 0 до 4000; 15247042
Сортировка пузырьком; 2600; Рандом от 0 до 4000; 36128644
Сортировка пузырьком (Айверсон 1); 2600; Рандом от 0 до 4000; 35384642
Сортировка пузырьком (Айверсон 1 + 2); 2600; Рандом от 0 до 4000; 29923681
Сортировка вставками; 2600; Рандом от 0 до 4000; 17260800
Сортировка бинарными вставками; 2600; Рандом от 0 до 4000; 12593443
Сортировка подсчетом; 2600; Рандом от 0 до 4000; 74401
Цифровая сортировка; 2600; Рандом от 0 до 4000; 376955
Сортировка слиянием; 2600; Рандом от 0 до 4000; 972156
Быстрая сортировка (Разбиение Хоара); 2600; Рандом от 0 до 4000; 287675
Быстрая сортировка (Разбиение Ломуто); 2600; Рандом от 0 до 4000; 406717
Пирамидальная сортировка; 2600; Рандом от 0 до 4000; 565442
Сортировка выбором; 2700; Рандом от 0 до 4000; 16189447
Сортировка пузырьком; 2700; Рандом от 0 до 4000; 39079844
Сортировка пузырьком (Айверсон 1); 2700; Рандом от 0 до 4000; 38276315
Сортировка пузырьком (Айверсон 1 + 2); 2700; Рандом от 0 до 4000; 32463200
Сортировка вставками; 2700; Рандом от 0 до 4000; 18575196
Сортировка бинарными вставками; 2700; Рандом от 0 до 4000; 13590397
Сортировка подсчетом; 2700; Рандом от 0 до 4000; 89279
Цифровая сортировка; 2700; Рандом от 0 до 4000; 371999
Сортировка слиянием; 2700; Рандом от 0 до 4000; 1021763
Быстрая сортировка (Разбиение Хоара); 2700; Рандом от 0 до 4000; 302557
Быстрая сортировка (Разбиение Ломуто); 2700; Рандом от 0 до 4000; 426559
Пирамидальная сортировка; 2700; Рандом от 0 до 4000; 595197
Сортировка выбором; 2800; Рандом от 0 до 4000; 17384803
Сортировка пузырьком; 2800; Рандом от 0 до 4000; 41921934
Сортировка пузырьком (Айверсон 1); 2800; Рандом от 0 до 4000; 41118398
Сортировка пузырьком (Айверсон 1 + 2); 2800; Рандом от 0 до 4000; 34963048
Сортировка вставками; 2800; Рандом от 0 до 4000; 19983840
Сортировка бинарными вставками; 2800; Рандом от 0 до 4000; 14636962
Сортировка подсчетом; 2800; Рандом от 0 до 4000; 94239
Цифровая сортировка; 2800; Рандом от 0 до 4000; 391826
Сортировка слиянием; 2800; Рандом от 0 до 4000; 1071359
Быстрая сортировка (Разбиение Хоара); 2800; Рандом от 0 до 4000; 317442
Быстрая сортировка (Разбиение Ломуто); 2800; Рандом от 0 до 4000; 396802
Пирамидальная сортировка; 2800; Рандом от 0 до 4000; 615044
Сортировка выбором; 2900; Рандом от 0 до 4000; 18619850
Сортировка пузырьком; 2900; Рандом от 0 до 4000; 45036800
Сортировка пузырьком (Айверсон 1); 2900; Рандом от 0 до 4000; 44193593
Сортировка пузырьком (Айверсон 1 + 2); 2900; Рандом от 0 до 4000; 37621601
Сортировка вставками; 2900; Рандом от 0 до 4000; 21526402
Сортировка бинарными вставками; 2900; Рандом от 0 до 4000; 15723208
Сортировка подсчетом; 2900; Рандом от 0 до 4000; 99197
Цифровая сортировка; 2900; Рандом от 0 до 4000; 416643
Сортировка слиянием; 2900; Рандом от 0 до 4000; 1101114
Быстрая сортировка (Разбиение Хоара); 2900; Рандом от 0 до 4000; 332322
Быстрая сортировка (Разбиение Ломуто); 2900; Рандом от 0 до 4000; 426557
Пирамидальная сортировка; 2900; Рандом от 0 до 4000; 654709
Сортировка выбором; 3000; Рандом от 0 до 4000; 19988801
Сортировка пузырьком; 3000; Рандом от 0 до 4000; 48275691
Сортировка пузырьком (Айверсон 1); 3000; Рандом от 0 до 4000; 47243989
Сортировка пузырьком (Айверсон 1 + 2); 3000; Рандом от 0 до 4000; 40280151
Сортировка вставками; 3000; Рандом от 0 до 4000; 23039195
Сортировка бинарными вставками; 3000; Рандом от 0 до 4000; 16878886
Сортировка подсчетом; 3000; Рандом от 0 до 4000; 124000
Цифровая сортировка; 3000; Рандом от 0 до 4000; 431519
Сортировка слиянием; 3000; Рандом от 0 до 4000; 1140801
Быстрая сортировка (Разбиение Хоара); 3000; Рандом от 0 до 4000; 347199
Быстрая сортировка (Разбиение Ломуто); 3000; Рандом от 0 до 4000; 496000
Пирамидальная сортировка; 3000; Рандом от 0 до 4000; 669606
