Сортировка; Кол-во элементов; Тип массива; Время (Наносекунды)
Сортировка выбором; 120; Рандом от 0 до 5; 39680
Сортировка пузырьком; 120; Рандом от 0 до 5; 69440
Сортировка пузырьком (Айверсон 1); 120; Рандом от 0 до 5; 59521
Сортировка пузырьком (Айверсон 1 + 2); 120; Рандом от 0 до 5; 74403
Сортировка вставками; 120; Рандом от 0 до 5; 44639
Сортировка бинарными вставками; 120; Рандом от 0 до 5; 34722
Сортировка подсчетом; 120; Рандом от 0 до 5; 24801
Цифровая сортировка; 120; Рандом от 0 до 5; 4956
Сортировка слиянием; 120; Рандом от 0 до 5; 426578
Быстрая сортировка (Разбиение Хоара); 120; Рандом от 0 до 5; 4959
Быстрая сортировка (Разбиение Ломуто); 120; Рандом от 0 до 5; 24798
Пирамидальная сортировка; 120; Рандом от 0 до 5; 14876
Сортировка выбором; 130; Рандом от 0 до 5; 49600
Сортировка пузырьком; 130; Рандом от 0 до 5; 124000
Сортировка пузырьком (Айверсон 1); 130; Рандом от 0 до 5; 133924
Сортировка пузырьком (Айверсон 1 + 2); 130; Рандом от 0 до 5; 84318
Сортировка вставками; 130; Рандом от 0 до 5; 34722
Сортировка бинарными вставками; 130; Рандом от 0 до 5; 29758
Сортировка подсчетом; 130; Рандом от 0 до 5; 24804
Цифровая сортировка; 130; Рандом от 0 до 5; 4957
Сортировка слиянием; 130; Рандом от 0 до 5; 39679
Быстрая сортировка (Разбиение Хоара); 130; Рандом от 0 до 5; 9917
Быстрая сортировка (Разбиение Ломуто); 130; Рандом от 0 до 5; 14882
Пирамидальная сортировка; 130; Рандом от 0 до 5; 9925
Сортировка выбором; 140; Рандом от 0 до 5; 39683
Сортировка пузырьком; 140; Рандом от 0 до 5; 94238
Сортировка пузырьком (Айверсон 1); 140; Рандом от 0 до 5; 99200
Сортировка пузырьком (Айверсон 1 + 2); 140; Рандом от 0 до 5; 69437
Сортировка вставками; 140; Рандом от 0 до 5; 49604
Сортировка бинарными вставками; 140; Рандом от 0 до 5; 39678
Сортировка подсчетом; 140; Рандом от 0 до 5; 24797
Цифровая сортировка; 140; Рандом от 0 до 5; 0
Сортировка слиянием; 140; Рандом от 0 до 5; 34719
Быстрая сортировка (Разбиение Хоара); 140; Рандом от 0 до 5; 9920
Быстрая сортировка (Разбиение Ломуто); 140; Рандом от 0 до 5; 29760
Пирамидальная сортировка; 140; Рандом от 0 до 5; 19839
Сортировка выбором; 150; Рандом от 0 до 5; 84321
Сортировка пузырьком; 150; Рандом от 0 до 5; 163678
Сортировка пузырьком (Айверсон 1); 150; Рандом от 0 до 5; 119040
Сортировка пузырьком (Айверсон 1 + 2); 150; Рандом от 0 до 5; 89282
Сортировка вставками; 150; Рандом от 0 до 5; 54561
Сортировка бинарными вставками; 150; Рандом от 0 до 5; 44644
Сортировка подсчетом; 150; Рандом от 0 до 5; 19833
Цифровая сортировка; 150; Рандом от 0 до 5; 4965
Сортировка слиянием; 150; Рандом от 0 до 5; 44641
Быстрая сортировка (Разбиение Хоара); 150; Рандом от 0 до 5; 14880
Быстрая сортировка (Разбиение Ломуто); 150; Рандом от 0 до 5; 29755
Пирамидальная сортировка; 150; Рандом от 0 до 5; 19845
Сортировка выбором; 160; Рандом от 0 до 5; 59518
Сортировка пузырьком; 160; Рандом от 0 до 5; 124000
Сортировка пузырьком (Айверсон 1); 160; Рандом от 0 до 5; 124005
Сортировка пузырьком (Айверсон 1 + 2); 160; Рандом от 0 до 5; 99203
Сортировка вставками; 160; Рандом от 0 до 5; 59518
Сортировка бинарными вставками; 160; Рандом от 0 до 5; 54562
Сортировка подсчетом; 160; Рандом от 0 до 5; 19839
Цифровая сортировка; 160; Рандом от 0 до 5; 0
Сортировка слиянием; 160; Рандом от 0 до 5; 49601
Быстрая сортировка (Разбиение Хоара); 160; Рандом от 0 до 5; 14881
Быстрая сортировка (Разбиение Ломуто); 160; Рандом от 0 до 5; 39686
Пирамидальная сортировка; 160; Рандом от 0 до 5; 9918
Сортировка выбором; 170; Рандом от 0 до 5; 74401
Сортировка пузырьком; 170; Рандом от 0 до 5; 153759
Сортировка пузырьком (Айверсон 1); 170; Рандом от 0 до 5; 153759
Сортировка пузырьком (Айверсон 1 + 2); 170; Рандом от 0 до 5; 124002
Сортировка вставками; 170; Рандом от 0 до 5; 69439
Сортировка бинарными вставками; 170; Рандом от 0 до 5; 79360
Сортировка подсчетом; 170; Рандом от 0 до 5; 19841
Цифровая сортировка; 170; Рандом от 0 до 5; 9918
Сортировка слиянием; 170; Рандом от 0 до 5; 54566
Быстрая сортировка (Разбиение Хоара); 170; Рандом от 0 до 5; 14876
Быстрая сортировка (Разбиение Ломуто); 170; Рандом от 0 до 5; 39679
Пирамидальная сортировка; 170; Рандом от 0 до 5; 29762
Сортировка выбором; 180; Рандом от 0 до 5; 109122
Сортировка пузырьком; 180; Рандом от 0 до 5; 198397
Сортировка пузырьком (Айверсон 1); 180; Рандом от 0 до 5; 158722
Сортировка пузырьком (Айверсон 1 + 2); 180; Рандом от 0 до 5; 163681
Сортировка вставками; 180; Рандом от 0 до 5; 114080
Сортировка бинарными вставками; 180; Рандом от 0 до 5; 79360
Сортировка подсчетом; 180; Рандом от 0 до 5; 24800
Цифровая сортировка; 180; Рандом от 0 до 5; 4961
Сортировка слиянием; 180; Рандом от 0 до 5; 54559
Быстрая сортировка (Разбиение Хоара); 180; Рандом от 0 до 5; 9921
Быстрая сортировка (Разбиение Ломуто); 180; Рандом от 0 до 5; 44645
Пирамидальная сортировка; 180; Рандом от 0 до 5; 24797
Сортировка выбором; 190; Рандом от 0 до 5; 89282
Сортировка пузырьком; 190; Рандом от 0 до 5; 183522
Сортировка пузырьком (Айверсон 1); 190; Рандом от 0 до 5; 173595
Сортировка пузырьком (Айверсон 1 + 2); 190; Рандом от 0 до 5; 138881
Сортировка вставками; 190; Рандом от 0 до 5; 376967
Сортировка бинарными вставками; 190; Рандом от 0 до 5; 74393
Сортировка подсчетом; 190; Рандом от 0 до 5; 24805
Цифровая сортировка; 190; Рандом от 0 до 5; 0
Сортировка слиянием; 190; Рандом от 0 до 5; 89280
Быстрая сортировка (Разбиение Хоара); 190; Рандом от 0 до 5; 9920
Быстрая сортировка (Разбиение Ломуто); 190; Рандом от 0 до 5; 39682
Пирамидальная сортировка; 190; Рандом от 0 до 5; 24795
Сортировка выбором; 200; Рандом от 0 до 5; 128962
Сортировка пузырьком; 200; Рандом от 0 до 5; 198402
Сортировка пузырьком (Айверсон 1); 200; Рандом от 0 до 5; 193438
Сортировка пузырьком (Айверсон 1 + 2); 200; Рандом от 0 до 5; 153762
Сортировка вставками; 200; Рандом от 0 до 5; 94242
Сортировка бинарными вставками; 200; Рандом от 0 до 5; 74400
Сортировка подсчетом; 200; Рандом от 0 до 5; 19840
Цифровая сортировка; 200; Рандом от 0 до 5; 9921
Сортировка слиянием; 200; Рандом от 0 до 5; 54560
Быстрая сортировка (Разбиение Хоара); 200; Рандом от 0 до 5; 9920
Быстрая сортировка (Разбиение Ломуто); 200; Рандом от 0 до 5; 44639
Пирамидальная сортировка; 200; Рандом от 0 до 5; 24798
Сортировка выбором; 210; Рандом от 0 до 5; 143838
Сортировка пузырьком; 210; Рандом от 0 до 5; 248002
Сортировка пузырьком (Айверсон 1); 210; Рандом от 0 до 5; 223200
Сортировка пузырьком (Айверсон 1 + 2); 210; Рандом от 0 до 5; 168641
Сортировка вставками; 210; Рандом от 0 до 5; 99199
Сортировка бинарными вставками; 210; Рандом от 0 до 5; 84318
Сортировка подсчетом; 210; Рандом от 0 до 5; 24803
Цифровая сортировка; 210; Рандом от 0 до 5; 0
Сортировка слиянием; 210; Рандом от 0 до 5; 59523
Быстрая сортировка (Разбиение Хоара); 210; Рандом от 0 до 5; 9920
Быстрая сортировка (Разбиение Ломуто); 210; Рандом от 0 до 5; 44638
Пирамидальная сортировка; 210; Рандом от 0 до 5; 24801
Сортировка выбором; 220; Рандом от 0 до 5; 119040
Сортировка пузырьком; 220; Рандом от 0 до 5; 243034
Сортировка пузырьком (Айверсон 1); 220; Рандом от 0 до 5; 228162
Сортировка пузырьком (Айверсон 1 + 2); 220; Рандом от 0 до 5; 188486
Сортировка вставками; 220; Рандом от 0 до 5; 114076
Сортировка бинарными вставками; 220; Рандом от 0 до 5; 89278
Сортировка подсчетом; 220; Рандом от 0 до 5; 24800
Цифровая сортировка; 220; Рандом от 0 до 5; 4960
Сортировка слиянием; 220; Рандом от 0 до 5; 59522
Быстрая сортировка (Разбиение Хоара); 220; Рандом от 0 до 5; 4960
Быстрая сортировка (Разбиение Ломуто); 220; Рандом от 0 до 5; 49601
Пирамидальная сортировка; 220; Рандом от 0 до 5; 24799
Сортировка выбором; 230; Рандом от 0 до 5; 123998
Сортировка пузырьком; 230; Рандом от 0 до 5; 252963
Сортировка пузырьком (Айверсон 1); 230; Рандом от 0 до 5; 248000
Сортировка пузырьком (Айверсон 1 + 2); 230; Рандом от 0 до 5; 208317
Сортировка вставками; 230; Рандом от 0 до 5; 124001
Сортировка бинарными вставками; 230; Рандом от 0 до 5; 99200
Сортировка подсчетом; 230; Рандом от 0 до 5; 19842
Цифровая сортировка; 230; Рандом от 0 до 5; 9919
Сортировка слиянием; 230; Рандом от 0 до 5; 74400
Быстрая сортировка (Разбиение Хоара); 230; Рандом от 0 до 5; 14879
Быстрая сортировка (Разбиение Ломуто); 230; Рандом от 0 до 5; 54562
Пирамидальная сортировка; 230; Рандом от 0 до 5; 24802
Сортировка выбором; 240; Рандом от 0 до 5; 138879
Сортировка пузырьком; 240; Рандом от 0 до 5; 282722
Сортировка пузырьком (Айверсон 1); 240; Рандом от 0 до 5; 277758
Сортировка пузырьком (Айверсон 1 + 2); 240; Рандом от 0 до 5; 223201
Сортировка вставками; 240; Рандом от 0 до 5; 138877
Сортировка бинарными вставками; 240; Рандом от 0 до 5; 104161
Сортировка подсчетом; 240; Рандом от 0 до 5; 24803
Цифровая сортировка; 240; Рандом от 0 до 5; 9919
Сортировка слиянием; 240; Рандом от 0 до 5; 74404
Быстрая сортировка (Разбиение Хоара); 240; Рандом от 0 до 5; 14877
Быстрая сортировка (Разбиение Ломуто); 240; Рандом от 0 до 5; 64480
Пирамидальная сортировка; 240; Рандом от 0 до 5; 29760
Сортировка выбором; 250; Рандом от 0 до 5; 148798
Сортировка пузырьком; 250; Рандом от 0 до 5; 297601
Сортировка пузырьком (Айверсон 1); 250; Рандом от 0 до 5; 292639
Сортировка пузырьком (Айверсон 1 + 2); 250; Рандом от 0 до 5; 238082
Сортировка вставками; 250; Рандом от 0 до 5; 138882
Сортировка бинарными вставками; 250; Рандом от 0 до 5; 114077
Сортировка подсчетом; 250; Рандом от 0 до 5; 29762
Цифровая сортировка; 250; Рандом от 0 до 5; 9919
Сортировка слиянием; 250; Рандом от 0 до 5; 74399
Быстрая сортировка (Разбиение Хоара); 250; Рандом от 0 до 5; 9929
Быстрая сортировка (Разбиение Ломуто); 250; Рандом от 0 до 5; 74398
Пирамидальная сортировка; 250; Рандом от 0 до 5; 29762
Сортировка выбором; 260; Рандом от 0 до 5; 153758
Сортировка пузырьком; 260; Рандом от 0 до 5; 332319
Сортировка пузырьком (Айверсон 1); 260; Рандом от 0 до 5; 327360
Сортировка пузырьком (Айверсон 1 + 2); 260; Рандом от 0 до 5; 257921
Сортировка вставками; 260; Рандом от 0 до 5; 163682
Сортировка бинарными вставками; 260; Рандом от 0 до 5; 133918
Сортировка подсчетом; 260; Рандом от 0 до 5; 24802
Цифровая сортировка; 260; Рандом от 0 до 5; 4958
Сортировка слиянием; 260; Рандом от 0 до 5; 79360
Быстрая сортировка (Разбиение Хоара); 260; Рандом от 0 до 5; 9920
Быстрая сортировка (Разбиение Ломуто); 260; Рандом от 0 до 5; 79360
Пирамидальная сортировка; 260; Рандом от 0 до 5; 34720
Сортировка выбором; 270; Рандом от 0 до 5; 168644
Сортировка пузырьком; 270; Рандом от 0 до 5; 357117
Сортировка пузырьком (Айверсон 1); 270; Рандом от 0 до 5; 352163
Сортировка пузырьком (Айверсон 1 + 2); 270; Рандом от 0 до 5; 287676
Сортировка вставками; 270; Рандом от 0 до 5; 178560
Сортировка бинарными вставками; 270; Рандом от 0 до 5; 138880
Сортировка подсчетом; 270; Рандом от 0 до 5; 24800
Цифровая сортировка; 270; Рандом от 0 до 5; 4958
Сортировка слиянием; 270; Рандом от 0 до 5; 74397
Быстрая сортировка (Разбиение Хоара); 270; Рандом от 0 до 5; 9920
Быстрая сортировка (Разбиение Ломуто); 270; Рандом от 0 до 5; 79360
Пирамидальная сортировка; 270; Рандом от 0 до 5; 39680
Сортировка выбором; 280; Рандом от 0 до 5; 183520
Сортировка пузырьком; 280; Рандом от 0 до 5; 386881
Сортировка пузырьком (Айверсон 1); 280; Рандом от 0 до 5; 372007
Сортировка пузырьком (Айверсон 1 + 2); 280; Рандом от 0 до 5; 302561
Сортировка вставками; 280; Рандом от 0 до 5; 198402
Сортировка бинарными вставками; 280; Рандом от 0 до 5; 148799
Сортировка подсчетом; 280; Рандом от 0 до 5; 24800
Цифровая сортировка; 280; Рандом от 0 до 5; 9920
Сортировка слиянием; 280; Рандом от 0 до 5; 84321
Быстрая сортировка (Разбиение Хоара); 280; Рандом от 0 до 5; 14879
Быстрая сортировка (Разбиение Ломуто); 280; Рандом от 0 до 5; 84320
Пирамидальная сортировка; 280; Рандом от 0 до 5; 34720
Сортировка выбором; 290; Рандом от 0 до 5; 188480
Сортировка пузырьком; 290; Рандом от 0 до 5; 411680
Сортировка пузырьком (Айверсон 1); 290; Рандом от 0 до 5; 411681
Сортировка пузырьком (Айверсон 1 + 2); 290; Рандом от 0 до 5; 332319
Сортировка вставками; 290; Рандом от 0 до 5; 213280
Сортировка бинарными вставками; 290; Рандом от 0 до 5; 163682
Сортировка подсчетом; 290; Рандом от 0 до 5; 24799
Цифровая сортировка; 290; Рандом от 0 до 5; 9920
Сортировка слиянием; 290; Рандом от 0 до 5; 89282
Быстрая сортировка (Разбиение Хоара); 290; Рандом от 0 до 5; 19838
Быстрая сортировка (Разбиение Ломуто); 290; Рандом от 0 до 5; 84321
Пирамидальная сортировка; 290; Рандом от 0 до 5; 34721
Сортировка выбором; 300; Рандом от 0 до 5; 203358
Сортировка пузырьком; 300; Рандом от 0 до 5; 570401
Сортировка пузырьком (Айверсон 1); 300; Рандом от 0 до 5; 446398
Сортировка пузырьком (Айверсон 1 + 2); 300; Рандом от 0 до 5; 357119
Сортировка вставками; 300; Рандом от 0 до 5; 233121
Сортировка бинарными вставками; 300; Рандом от 0 до 5; 178559
Сортировка подсчетом; 300; Рандом от 0 до 5; 29763
Цифровая сортировка; 300; Рандом от 0 до 5; 14879
Сортировка слиянием; 300; Рандом от 0 до 5; 94240
Быстрая сортировка (Разбиение Хоара); 300; Рандом от 0 до 5; 14881
Быстрая сортировка (Разбиение Ломуто); 300; Рандом от 0 до 5; 89279
Пирамидальная сортировка; 300; Рандом от 0 до 5; 39680
Сортировка выбором; 400; Рандом от 0 до 5; 362082
Сортировка пузырьком; 400; Рандом от 0 до 5; 763839
Сортировка пузырьком (Айверсон 1); 400; Рандом от 0 до 5; 748958
Сортировка пузырьком (Айверсон 1 + 2); 400; Рандом от 0 до 5; 620000
Сортировка вставками; 400; Рандом от 0 до 5; 357118
Сортировка бинарными вставками; 400; Рандом от 0 до 5; 287681
Сортировка подсчетом; 400; Рандом от 0 до 5; 19841
Цифровая сортировка; 400; Рандом от 0 до 5; 14883
Сортировка слиянием; 400; Рандом от 0 до 5; 123997
Быстрая сортировка (Разбиение Хоара); 400; Рандом от 0 до 5; 24803
Быстрая сортировка (Разбиение Ломуто); 400; Рандом от 0 до 5; 158718
Пирамидальная сортировка; 400; Рандом от 0 до 5; 59520
Сортировка выбором; 500; Рандом от 0 до 5; 555522
Сортировка пузырьком; 500; Рандом от 0 до 5; 1190401
Сортировка пузырьком (Айверсон 1); 500; Рандом от 0 до 5; 1170557
Сортировка пузырьком (Айверсон 1 + 2); 500; Рандом от 0 до 5; 947360
Сортировка вставками; 500; Рандом от 0 до 5; 545601
Сортировка бинарными вставками; 500; Рандом от 0 до 5; 421602
Сортировка подсчетом; 500; Рандом от 0 до 5; 24801
Цифровая сортировка; 500; Рандом от 0 до 5; 14877
Сортировка слиянием; 500; Рандом от 0 до 5; 158720
Быстрая сортировка (Разбиение Хоара); 500; Рандом от 0 до 5; 29759
Быстрая сортировка (Разбиение Ломуто); 500; Рандом от 0 до 5; 248003
Пирамидальная сортировка; 500; Рандом от 0 до 5; 79358
Сортировка выбором; 600; Рандом от 0 до 5; 798564
Сортировка пузырьком; 600; Рандом от 0 до 5; 1731038
Сортировка пузырьком (Айверсон 1); 600; Рандом от 0 до 5; 1686399
Сортировка пузырьком (Айверсон 1 + 2); 600; Рандом от 0 до 5; 1349118
Сортировка вставками; 600; Рандом от 0 до 5; 748961
Сортировка бинарными вставками; 600; Рандом от 0 до 5; 575360
Сортировка подсчетом; 600; Рандом от 0 до 5; 29760
Цифровая сортировка; 600; Рандом от 0 до 5; 19841
Сортировка слиянием; 600; Рандом от 0 до 5; 193440
Быстрая сортировка (Разбиение Хоара); 600; Рандом от 0 до 5; 39680
Быстрая сортировка (Разбиение Ломуто); 600; Рандом от 0 до 5; 347200
Пирамидальная сортировка; 600; Рандом от 0 до 5; 94240
Сортировка выбором; 700; Рандом от 0 до 5; 1086237
Сортировка пузырьком; 700; Рандом от 0 до 5; 2405600
Сортировка пузырьком (Айверсон 1); 700; Рандом от 0 до 5; 2326241
Сортировка пузырьком (Айверсон 1 + 2); 700; Рандом от 0 до 5; 1879836
Сортировка вставками; 700; Рандом от 0 до 5; 1066404
Сортировка бинарными вставками; 700; Рандом от 0 до 5; 793595
Сортировка подсчетом; 700; Рандом от 0 до 5; 34722
Цифровая сортировка; 700; Рандом от 0 до 5; 14874
Сортировка слиянием; 700; Рандом от 0 до 5; 233128
Быстрая сортировка (Разбиение Хоара); 700; Рандом от 0 до 5; 49594
Быстрая сортировка (Разбиение Ломуто); 700; Рандом от 0 до 5; 461280
Пирамидальная сортировка; 700; Рандом от 0 до 5; 114078
Сортировка выбором; 800; Рандом от 0 до 5; 1418559
Сортировка пузырьком; 800; Рандом от 0 до 5; 3144638
Сортировка пузырьком (Айверсон 1); 800; Рандом от 0 до 5; 3065279
Сортировка пузырьком (Айверсон 1 + 2); 800; Рандом от 0 до 5; 2480002
Сортировка вставками; 800; Рандом от 0 до 5; 1378880
Сортировка бинарными вставками; 800; Рандом от 0 до 5; 1026721
Сортировка подсчетом; 800; Рандом от 0 до 5; 29760
Цифровая сортировка; 800; Рандом от 0 до 5; 29760
Сортировка слиянием; 800; Рандом от 0 до 5; 252962
Быстрая сортировка (Разбиение Хоара); 800; Рандом от 0 до 5; 54560
Быстрая сортировка (Разбиение Ломуто); 800; Рандом от 0 до 5; 605120
Пирамидальная сортировка; 800; Рандом от 0 до 5; 123998
Сортировка выбором; 900; Рандом от 0 до 5; 1805455
Сортировка пузырьком; 900; Рандом от 0 до 5; 3953101
Сортировка пузырьком (Айверсон 1); 900; Рандом от 0 до 5; 3963039
Сортировка пузырьком (Айверсон 1 + 2); 900; Рандом от 0 до 5; 3179360
Сортировка вставками; 900; Рандом от 0 до 5; 1736001
Сортировка бинарными вставками; 900; Рандом от 0 до 5; 1299518
Сортировка подсчетом; 900; Рандом от 0 до 5; 24800
Цифровая сортировка; 900; Рандом от 0 до 5; 24802
Сортировка слиянием; 900; Рандом от 0 до 5; 287677
Быстрая сортировка (Разбиение Хоара); 900; Рандом от 0 до 5; 54559
Быстрая сортировка (Разбиение Ломуто); 900; Рандом от 0 до 5; 768801
Пирамидальная сортировка; 900; Рандом от 0 до 5; 163679
Сортировка выбором; 1000; Рандом от 0 до 5; 2261757
Сортировка пузырьком; 1000; Рандом от 0 до 5; 4910391
Сортировка пузырьком (Айверсон 1); 1000; Рандом от 0 до 5; 4875678
Сортировка пузырьком (Айверсон 1 + 2); 1000; Рандом от 0 до 5; 3933279
Сортировка вставками; 1000; Рандом от 0 до 5; 2117919
Сортировка бинарными вставками; 1000; Рандом от 0 до 5; 1597126
Сортировка подсчетом; 1000; Рандом от 0 до 5; 34720
Цифровая сортировка; 1000; Рандом от 0 до 5; 29765
Сортировка слиянием; 1000; Рандом от 0 до 5; 352160
Быстрая сортировка (Разбиение Хоара); 1000; Рандом от 0 до 5; 69439
Быстрая сортировка (Разбиение Ломуто); 1000; Рандом от 0 до 5; 942400
Пирамидальная сортировка; 1000; Рандом от 0 до 5; 163677
Сортировка выбором; 1100; Рандом от 0 до 5; 2708165
Сортировка пузырьком; 1100; Рандом от 0 до 5; 5996641
Сортировка пузырьком (Айверсон 1); 1100; Рандом от 0 до 5; 5832958
Сортировка пузырьком (Айверсон 1 + 2); 1100; Рандом от 0 до 5; 4801282
Сортировка вставками; 1100; Рандом от 0 до 5; 2594078
Сортировка бинарными вставками; 1100; Рандом от 0 до 5; 1924481
Сортировка подсчетом; 1100; Рандом от 0 до 5; 44639
Цифровая сортировка; 1100; Рандом от 0 до 5; 34720
Сортировка слиянием; 1100; Рандом от 0 до 5; 372000
Быстрая сортировка (Разбиение Хоара); 1100; Рандом от 0 до 5; 64480
Быстрая сортировка (Разбиение Ломуто); 1100; Рандом от 0 до 5; 1120959
Пирамидальная сортировка; 1100; Рандом от 0 до 5; 163681
Сортировка выбором; 1200; Рандом от 0 до 5; 3199201
Сортировка пузырьком; 1200; Рандом от 0 до 5; 7157285
Сортировка пузырьком (Айверсон 1); 1200; Рандом от 0 до 5; 7008483
Сортировка пузырьком (Айверсон 1 + 2); 1200; Рандом от 0 до 5; 5723835
Сортировка вставками; 1200; Рандом от 0 до 5; 3104966
Сортировка бинарными вставками; 1200; Рандом от 0 до 5; 2316316
Сортировка подсчетом; 1200; Рандом от 0 до 5; 44640
Цифровая сортировка; 1200; Рандом от 0 до 5; 34722
Сортировка слиянием; 1200; Рандом от 0 до 5; 401761
Быстрая сортировка (Разбиение Хоара); 1200; Рандом от 0 до 5; 79359
Быстрая сортировка (Разбиение Ломуто); 1200; Рандом от 0 до 5; 1309442
Пирамидальная сортировка; 1200; Рандом от 0 до 5; 183521
